age,female,hisp,education,earnings,hours,week,union,uncov,region,race,marital
30,0,0,13,2.5,40,52,0,0,1,1,5
43,1,0,13,3.4,40,52,0,0,1,1,5
62,1,0,16,2.93,75,52,0,0,1,1,3
23,0,0,11,1.6,40,52,0,0,1,1,7
53,1,0,16,4.2,55,52,0,0,1,1,1
58,0,0,12,0.5,40,52,0,0,1,1,1
27,0,0,13,0.95,40,52,0,0,1,1,7
25,1,0,18,3,40,52,0,0,1,1,7
41,0,0,14,14.4,50,52,0,0,1,1,1
56,0,0,13,3.2,55,52,0,0,1,1,1
39,0,0,11,0.4,60,50,0,0,1,1,5
43,0,0,12,2.9,40,52,0,0,1,1,1
30,0,0,12,3.588,70,52,0,0,1,1,1
20,1,1,13,0.86,40,49,0,0,1,1,7
41,1,0,18,7.05,60,52,0,0,1,1,1
65,0,0,9,3.3,40,48,0,0,1,1,1
18,1,0,11,2.6793,50,50,0,0,1,1,7
30,0,0,12,3,70,52,0,0,1,1,1
46,0,0,12,6.2,45,52,0,0,1,1,1
31,0,0,12,3.7,40,52,0,0,1,1,1
29,1,0,12,2.1,40,52,0,0,1,1,1
47,0,0,12,3,40,52,0,0,1,1,5
36,0,0,14,2.4,40,52,0,0,1,1,1
41,0,0,12,6.134,45,52,0,1,1,1,1
52,0,0,16,4.1701,40,52,1,0,1,1,1
51,1,0,18,18.1252,44,52,1,0,1,1,1
45,0,0,12,3.8,40,52,0,0,1,1,1
45,1,0,12,3.2,45,52,0,0,1,1,1
47,0,0,12,4,40,52,0,0,1,1,5
38,1,0,16,5.4435,40,52,0,0,1,1,1
38,0,0,12,1,50,52,0,0,1,1,1
51,1,0,13,3.5,40,52,0,0,1,1,5
54,1,0,14,6,50,52,0,0,1,1,5
55,0,0,12,2.2,40,52,0,0,1,7,7
59,0,0,12,4,40,52,0,0,1,1,1
44,1,0,9,2.6,40,52,0,0,1,1,1
59,0,0,13,2.5,40,52,0,0,1,1,1
26,0,0,16,3.7,40,52,0,0,1,1,1
38,1,0,16,7.5,45,52,0,0,1,1,1
45,0,0,12,5.8,40,52,0,0,1,1,1
28,0,0,16,7.9,50,52,0,0,1,1,1
52,0,0,16,8.5,40,52,0,0,1,1,7
66,0,0,12,1,50,52,0,0,1,1,5
28,1,0,18,3.4,45,52,0,0,1,1,1
42,0,0,14,6.4315,65,52,0,0,1,1,1
63,0,0,13,8.5,60,52,0,0,1,1,1
45,0,0,16,7.1,45,52,0,0,1,1,1
27,1,0,13,3.1,40,52,0,0,1,1,1
33,0,0,11,4.9,40,52,0,0,1,1,1
22,0,0,9,2.8,45,52,0,0,1,7,1
39,0,0,18,6,45,52,0,0,1,1,1
41,1,0,16,4,40,52,0,0,1,1,1
33,0,0,13,2.2441,40,50,0,0,1,1,7
37,1,0,12,2.2,36,52,0,0,1,1,1
37,0,0,12,3.8,40,52,0,0,1,1,1
57,1,0,14,6,40,52,0,0,1,1,5
54,0,0,12,3.9,40,52,0,0,1,1,1
63,0,0,12,5,40,52,0,0,1,1,5
30,0,0,14,5,40,52,0,0,1,1,1
47,0,0,16,11.8,50,52,0,0,1,1,1
51,1,0,13,8.0474,50,52,0,0,1,1,7
27,0,0,14,4.5,55,52,0,0,1,1,7
35,0,0,14,4.19,43,52,0,0,1,1,5
59,0,0,12,2.7239,40,52,0,0,1,1,1
43,0,0,12,3.5,40,48,0,0,1,1,1
48,0,0,14,0.404,45,52,0,0,1,1,1
50,1,0,16,5.5,45,52,0,0,1,1,1
51,1,0,18,1.6,40,50,0,0,1,1,5
30,0,0,16,8,65,52,0,0,1,1,1
55,0,0,13,3.4,45,52,0,0,1,2,5
53,0,1,9,5,70,52,0,0,1,1,1
38,1,0,12,3.2,40,52,0,0,1,1,5
50,0,0,12,3.1,36,52,0,0,1,1,1
49,1,0,12,5.6,50,52,0,0,1,1,1
25,1,0,16,2.5,40,52,1,0,1,1,2
26,0,0,12,3.3,40,52,0,0,1,1,1
56,0,0,16,5.7,60,52,0,0,1,1,7
51,0,0,12,6.2,48,52,0,0,1,1,1
61,1,0,12,2.3,40,52,0,0,1,1,5
31,0,0,12,2.7001,55,52,0,0,1,1,1
69,0,0,12,3.5,40,52,0,0,1,1,1
63,1,0,12,2.3,40,52,0,0,1,1,1
32,0,0,12,4.2,40,52,0,0,1,1,1
32,1,0,13,3,40,52,0,0,1,1,1
31,1,0,12,2.8,40,52,0,0,1,1,1
54,1,0,18,8,40,52,0,0,1,1,1
63,0,0,18,2.4,40,52,0,0,1,1,1
27,1,0,16,3.66,54,52,0,0,1,1,7
61,0,0,16,4,55,52,0,0,1,1,1
47,0,0,12,4,45,52,0,0,1,1,1
59,0,0,12,5,50,52,0,0,1,1,5
58,0,0,12,6.7,40,52,0,0,1,1,5
46,1,0,12,2,40,52,0,0,1,1,5
35,1,0,12,2.2,40,52,0,0,1,1,1
32,0,0,14,5,50,52,0,0,1,1,1
46,0,0,14,3,40,52,0,0,1,1,1
43,1,0,13,2.2,40,52,0,0,1,1,1
43,1,0,16,3.2,50,52,0,0,1,1,1
36,0,0,12,3.62,44,52,0,0,1,1,1
31,1,0,16,4.8,36,52,0,0,1,1,1
47,1,0,12,3.32,40,52,0,0,1,1,1
48,0,0,13,3.5,40,52,0,0,1,1,6
38,0,0,12,5.6,52,52,0,0,1,1,1
36,1,0,14,7.5,45,52,0,0,1,1,1
43,1,0,13,5.3898,40,52,0,0,1,1,1
42,0,0,16,3.2144,40,49,0,0,1,1,1
59,0,0,12,2.6,55,52,0,0,1,1,1
56,1,0,12,2.4787,40,52,0,0,1,5,1
54,1,0,12,3.2,40,52,0,0,1,1,1
59,0,0,12,2,40,52,0,0,1,1,1
61,1,0,13,1.5,40,52,0,0,1,1,1
47,0,0,12,3,44,52,0,0,1,1,7
50,1,0,12,2.9,72,52,0,0,1,1,1
67,1,0,13,3,40,52,0,0,1,1,4
32,1,0,16,3.6,38,52,0,0,1,4,1
37,0,0,16,3.5,40,52,0,0,1,1,1
48,0,0,16,12,60,52,0,0,1,1,1
34,1,0,14,3,40,52,0,0,1,1,5
46,1,0,12,2.5,42,52,0,0,1,1,5
61,1,0,13,1.9,40,52,0,0,1,1,1
65,0,0,12,7,56,52,0,0,1,1,1
36,0,0,13,5.3,60,52,0,0,1,1,7
40,0,0,14,5.4,45,52,0,0,1,1,5
40,1,0,14,2.6,40,52,0,0,1,1,5
44,0,0,16,6.7,50,52,0,0,1,1,1
62,0,0,14,6.2402,40,52,0,0,1,1,1
44,0,0,12,9,60,52,0,0,1,1,1
48,1,0,14,2,40,52,0,0,1,1,1
45,0,0,12,4.85,50,52,0,0,1,1,7
27,1,0,16,2.0484,45,52,0,0,1,1,7
53,0,0,12,2.3,60,48,0,0,1,1,5
23,1,0,13,2.0134,40,52,0,0,1,1,6
44,0,0,16,5.6,45,52,0,0,1,1,1
29,0,0,16,2.5,40,52,0,0,1,1,1
25,1,0,13,1.5,40,52,0,0,1,1,1
55,0,0,18,6,50,52,0,0,1,1,1
52,1,0,18,2.25,50,52,0,0,1,1,1
36,1,0,16,10.4,42,52,0,0,1,1,5
32,0,0,13,2.5,40,52,0,0,1,1,5
39,0,0,12,5,40,52,0,0,1,1,1
37,1,0,12,2,40,52,0,0,1,1,1
35,1,0,13,2.4,40,52,0,0,1,1,1
38,0,0,16,8.5,40,52,0,0,1,1,1
34,0,0,12,7,60,52,0,0,1,1,7
39,1,0,12,2.4002,40,52,0,0,1,1,5
45,0,0,16,9.5,60,52,0,0,1,1,1
51,0,0,18,15.6697,65,52,0,0,1,1,1
48,1,0,12,5.16,44,52,0,0,1,1,1
44,1,0,14,3.8,40,52,0,0,1,1,5
26,1,0,12,2.7,36,52,0,0,1,1,1
26,0,0,12,3.4,50,52,0,0,1,1,1
48,0,0,11,4.1,40,52,0,0,1,1,5
48,0,0,12,1.9,40,52,0,0,1,1,1
39,1,0,12,1.7,40,52,0,0,1,1,5
28,0,0,12,1.9539,40,52,0,0,1,1,7
32,1,0,18,6.15,75,52,0,0,1,1,1
27,0,0,14,5.3,58,52,0,0,1,1,1
49,1,0,16,5,50,52,0,0,1,1,1
33,0,0,16,6.2,40,52,0,0,1,1,1
61,1,0,14,2.1403,55,52,1,0,1,1,5
31,1,0,13,6,48,52,0,0,1,1,1
56,1,0,12,2.6,40,52,0,0,1,1,1
37,0,0,14,2.6,40,52,0,0,1,1,7
34,0,0,12,7.5,45,52,0,0,1,1,5
47,1,0,13,2.8,40,52,0,0,1,1,5
40,1,0,14,0.6,40,52,0,0,1,1,5
40,0,0,16,3.2,45,52,0,0,1,1,1
46,1,0,18,5.2,45,52,0,0,1,1,1
40,1,0,16,9.5,40,52,0,0,1,1,1
35,0,0,12,5,40,52,0,0,1,1,1
38,1,0,14,3.2,40,52,0,0,1,1,1
38,0,0,13,4.8,40,52,0,0,1,1,1
41,1,0,16,4.2,50,52,0,0,1,1,1
45,1,0,14,2.5,40,52,0,0,1,1,7
45,1,1,11,3,40,52,0,0,1,1,1
44,1,0,12,3.9,40,52,0,0,1,1,5
40,0,0,16,6,40,52,0,0,1,1,1
39,1,0,16,1.2,40,52,0,0,1,1,5
21,0,0,12,3.5,57,52,0,0,1,1,7
56,0,0,18,4,40,52,0,0,1,1,1
55,0,0,18,4.2,40,51,0,0,1,1,3
29,0,0,13,3.2,40,52,0,0,1,1,7
48,0,0,12,6,55,52,0,0,1,1,1
43,1,0,16,2.6,52,52,0,0,1,1,1
38,0,0,12,6,50,52,0,0,1,1,1
45,0,0,12,3.35,40,52,0,0,1,1,1
49,1,0,12,2.2,40,52,0,0,1,1,1
29,0,0,11,2.2,50,52,0,0,1,1,7
54,0,0,12,2.7457,40,52,0,0,1,1,1
37,1,0,12,2.0311,40,52,0,0,1,1,1
67,1,0,13,3,40,52,0,0,1,1,7
40,0,0,12,2,57,52,0,0,1,1,7
29,0,0,13,2.8,40,52,0,0,1,1,1
59,0,0,12,2.8,40,52,0,0,1,1,1
43,1,0,14,3.5,40,52,0,0,1,1,1
48,0,0,12,4.8,40,52,0,0,1,1,5
37,0,0,13,3,42,52,0,0,1,1,1
32,1,0,12,1.5,40,52,0,0,1,1,1
60,0,0,12,4,40,52,0,0,1,1,1
59,1,0,12,4,40,52,0,0,1,1,1
42,0,0,18,7.2,45,52,0,0,1,1,1
42,1,0,13,4.5,40,52,0,0,1,1,1
36,1,0,13,6.2,40,52,0,0,1,1,7
52,0,0,14,7.6,40,52,0,0,1,1,1
52,1,0,12,2.8,40,48,0,0,1,1,5
51,0,0,12,6.5,70,52,0,0,1,1,1
19,0,0,16,2.2,40,50,0,0,1,1,7
26,1,0,13,2.6,40,52,0,0,1,1,7
43,0,0,16,7,45,52,0,0,1,1,1
41,1,0,12,3.4,40,52,0,0,1,1,1
43,1,0,16,6.8,40,52,0,0,1,1,1
25,1,0,13,1.3,40,48,0,0,1,1,7
37,1,0,14,6.864,45,52,0,0,1,1,1
36,0,0,12,3.7,45,52,0,0,1,1,1
40,1,0,16,5.5,45,52,0,0,1,1,5
38,1,0,13,2.49,40,52,1,0,1,1,7
36,0,0,12,3,40,52,0,0,1,1,1
38,1,0,12,2.6002,40,52,0,0,1,1,1
54,0,0,16,5.2,40,52,0,0,1,1,1
51,1,0,16,7,40,52,0,0,1,1,1
25,0,0,16,2.5,60,52,0,0,1,1,7
41,0,0,16,3.8291,45,52,0,0,1,1,1
55,1,0,14,3,40,52,0,0,1,1,1
47,0,0,16,3.25,40,52,0,0,1,1,1
39,1,0,16,3.25,40,52,0,0,1,1,1
21,0,1,13,3,40,52,0,0,1,1,7
42,0,0,14,0.5,60,52,0,0,1,1,7
56,0,0,16,6.3674,50,52,0,0,1,1,1
47,0,0,14,4,40,52,0,0,1,1,5
40,0,1,20,7.5,40,52,0,0,1,1,1
30,1,0,12,3.25,40,52,0,0,1,1,1
35,1,0,13,3.15,40,52,0,0,1,1,1
39,0,0,16,3.6,44,52,0,0,1,1,1
44,1,0,16,3.7,44,52,0,0,1,1,1
43,0,0,12,3.1,40,52,0,0,1,1,1
29,1,0,12,2.7,40,52,0,0,1,1,7
40,1,0,16,4.6,40,52,0,0,1,1,7
55,1,0,16,5,50,52,0,0,1,1,5
38,1,0,14,6.1,40,52,0,0,1,1,7
35,0,0,20,5,60,52,0,0,1,1,7
39,0,0,13,5,72,52,0,0,1,1,1
32,1,0,14,6,40,52,0,0,1,1,1
41,0,0,12,4,40,52,0,0,1,1,1
43,1,0,14,4.2,40,52,0,0,1,1,1
47,0,0,12,3.9,36,52,0,0,1,1,1
43,0,0,13,3.9,40,52,0,0,1,1,5
55,0,0,13,2.5,40,52,0,0,1,1,1
47,1,0,14,2.5,40,52,0,0,1,1,1
46,0,0,14,7.8,40,52,0,0,1,1,1
43,1,0,12,4.368,50,52,0,0,1,1,5
60,0,0,13,7.6,45,52,0,0,1,7,1
50,0,0,18,15,60,52,0,0,1,1,1
43,0,0,12,5.1,55,52,0,0,1,1,1
44,1,0,16,6.7,40,52,0,0,1,1,1
51,0,0,12,5,50,52,0,0,1,1,1
43,1,0,18,5,40,52,0,0,1,1,1
41,0,0,18,4.42,40,52,0,0,1,1,1
51,0,0,12,3.4,40,52,0,0,1,1,1
42,0,0,12,4.9,36,52,0,0,1,1,1
61,0,0,14,0.816,40,52,0,0,1,1,1
42,1,0,13,3,40,52,0,0,1,1,1
37,0,0,12,4.55,48,52,0,0,1,1,1
40,0,0,18,8.8,60,52,0,0,1,1,1
56,0,0,12,2.8,40,52,0,0,1,1,1
46,1,0,14,3.225,38,52,0,0,1,1,7
31,1,0,13,1.8,40,52,0,0,1,1,1
37,1,0,13,1.75,40,52,0,0,1,1,1
41,0,0,12,2.1524,40,52,0,0,1,1,1
62,0,0,12,1.3,60,52,0,0,1,1,1
41,0,0,12,2.2,40,52,0,0,1,1,1
36,1,0,18,4.3,40,52,0,0,1,1,7
55,0,0,14,3,44,52,0,0,1,2,1
44,1,0,12,2.7,40,52,0,0,1,1,1
46,1,0,13,4.9,45,52,0,0,1,1,1
50,0,0,13,5.1,47,52,0,0,1,1,1
48,0,0,20,10.2,50,52,0,0,1,1,1
61,0,0,16,4.7184,45,52,0,0,1,1,1
53,0,0,16,5,40,52,0,0,1,1,1
54,0,0,12,5,60,52,0,0,1,1,1
52,1,0,14,5.2,40,52,0,0,1,1,1
26,1,0,13,1.6,40,52,0,0,1,1,1
29,0,0,14,2.8,40,52,0,0,1,1,1
29,0,0,13,4.3,40,52,0,0,1,1,1
23,0,0,16,2.5,40,52,0,0,1,1,7
75,1,0,13,7.5,50,52,0,0,1,1,5
54,0,0,13,5,40,52,0,0,1,1,1
53,0,0,16,4.1802,40,52,0,0,1,1,5
39,1,0,18,4.4,40,52,0,0,1,1,7
69,1,0,13,0.8,40,52,0,0,1,1,1
78,0,0,12,1.9,40,52,0,0,1,1,1
43,0,0,12,4,40,52,0,0,1,1,5
59,1,0,12,3,40,52,0,0,1,1,1
63,0,0,12,4,50,52,0,0,1,1,1
56,0,0,16,4.5,56,52,0,0,1,1,1
50,1,0,14,6.6001,45,52,0,0,1,1,1
40,0,0,12,2.5,40,48,0,0,1,1,1
37,1,0,13,3,40,52,0,0,1,1,1
55,1,0,12,4,40,52,0,0,1,1,1
56,0,0,12,4,45,52,0,0,1,1,1
49,1,0,9,2.366,40,52,0,0,1,1,1
52,0,0,12,8.7,80,52,1,0,1,1,1
51,1,0,12,2.4,40,52,0,0,1,1,1
46,0,0,14,10.5,60,52,0,0,1,1,1
56,1,0,14,7.5,40,52,0,0,1,1,1
60,0,0,14,6.5,40,52,0,0,1,1,1
51,0,0,18,6.3,45,52,0,0,1,1,1
48,1,1,16,3.5,40,52,0,0,1,1,1
53,1,0,13,2,40,52,0,0,1,1,1
29,0,0,16,6,40,52,0,0,1,1,1
49,0,0,13,4.5,40,52,0,0,1,1,1
20,0,0,12,3,40,52,0,0,1,1,7
28,1,0,14,7.9,36,52,0,0,1,1,1
54,0,0,16,6.805,40,52,0,0,1,1,1
48,0,0,18,5.7,50,52,0,0,1,1,1
50,1,0,18,4.5,40,52,0,0,1,1,1
51,1,0,13,5.8583,40,52,0,0,1,1,1
52,0,0,18,19.9482,45,52,0,0,1,1,1
47,1,0,14,3,36,52,0,0,1,1,5
23,1,0,13,1.9,39,52,0,0,1,1,7
26,0,0,13,3.5,40,52,0,0,1,1,6
24,0,0,14,4.1,40,52,0,0,1,1,7
43,1,0,16,7,50,52,0,0,1,1,1
43,0,0,12,0.22,40,52,0,0,1,1,1
29,0,0,18,5.93,40,52,0,0,1,1,1
37,0,0,16,4.7,40,52,0,0,1,1,5
51,1,0,12,1.8,40,52,0,0,1,1,1
36,1,0,12,2.8,40,52,0,0,1,1,1
38,0,0,13,3,40,52,0,0,1,1,1
24,1,0,16,4.2,50,52,0,0,1,1,7
57,0,0,16,8.1595,36,52,0,0,1,1,1
46,0,0,14,5.2,40,52,0,0,1,6,1
45,1,0,14,3,36,52,0,0,1,1,1
29,0,0,9,2.4,40,52,0,0,1,1,5
74,1,0,12,4,50,52,0,0,1,1,1
46,0,0,12,5,40,52,0,0,1,1,5
44,0,0,14,5.8,50,52,0,0,1,1,1
43,1,0,16,2.5,40,48,0,0,1,1,1
36,0,0,16,3.75,45,52,0,0,1,1,1
38,1,0,12,3.4,40,52,0,0,1,1,6
40,1,0,10,0.5408,45,52,0,0,1,1,5
46,1,0,12,4.2,50,52,0,0,1,1,1
50,1,0,14,7.5,36,52,0,0,1,1,5
49,0,0,14,7.2,36,52,0,0,1,1,5
46,0,0,16,4.5,40,52,0,0,1,1,1
41,0,0,13,5.2,40,52,0,0,1,1,1
43,0,0,12,4.1,45,52,0,0,1,1,5
43,0,1,12,1.8,36,48,0,0,1,7,7
40,1,0,13,3.8,40,52,0,0,1,1,1
41,0,0,12,4.67,40,52,0,0,1,1,1
41,1,0,14,6.8,40,52,0,0,1,1,1
53,1,0,12,2.3,40,52,0,0,1,1,1
47,1,0,12,3,40,52,0,0,1,1,1
46,0,0,12,6.2,40,52,0,0,1,1,1
40,0,0,16,2.4,40,52,0,0,1,1,1
39,1,0,18,3.3,40,52,0,0,1,1,1
62,1,0,16,3.7,40,52,0,0,1,1,4
32,0,0,13,4.6,40,52,0,0,1,1,1
46,0,0,14,1.69,50,50,0,0,1,7,4
53,1,0,12,6.5,50,52,0,0,1,1,1
53,0,0,18,5.9,55,52,0,0,1,1,1
49,0,0,12,2,40,52,0,0,1,7,1
48,1,0,12,3.2,40,52,0,0,1,7,1
40,1,0,16,5.0002,40,52,0,0,1,1,1
36,1,0,14,4,40,52,0,0,1,1,1
43,0,0,12,3,40,52,0,0,1,1,1
51,0,0,18,4.96,40,52,0,0,1,4,1
49,1,0,16,2.08,40,52,0,0,1,4,1
31,0,0,13,4,40,52,0,0,1,1,7
48,1,0,12,2.76,40,52,0,0,1,1,5
24,0,0,12,2.7,40,52,1,0,1,1,7
57,0,0,14,6.8,40,52,0,0,1,1,5
54,0,0,12,3.744,40,52,0,0,1,1,1
54,1,0,13,5.2,40,52,0,0,1,1,1
35,0,0,13,4.9,45,52,0,0,1,1,1
36,1,0,12,3.7,40,52,0,0,1,1,1
42,0,0,14,8,55,52,0,0,1,1,1
25,0,0,13,4.4,40,52,0,0,1,1,7
51,0,0,13,7.9,40,52,0,0,1,1,1
29,0,0,13,5,40,52,0,0,1,1,5
53,0,0,12,3.4,40,52,0,0,1,1,5
46,1,0,16,2.6,40,52,0,0,1,1,5
25,0,0,14,5.7,45,52,0,0,1,1,7
24,1,0,14,2.5,40,52,0,0,1,1,7
59,1,0,14,6.0528,40,52,0,0,1,1,1
44,0,0,18,7.8,40,52,0,0,1,1,5
51,0,0,14,1.8681,40,52,1,0,1,1,1
33,1,0,14,2.5,40,52,0,0,1,1,1
49,1,0,16,5.62,36,52,0,0,1,1,1
46,1,0,16,2.5,38,52,0,0,1,1,5
56,0,0,14,3.5,40,52,1,0,1,1,1
27,0,0,12,3.5,40,52,0,0,1,1,1
31,1,0,13,5.8,40,52,0,0,1,7,1
53,1,0,12,3.5,40,52,0,0,1,1,4
55,0,0,12,3.5,40,52,0,0,1,1,5
48,1,0,16,3.2,36,52,0,0,1,1,1
56,0,0,12,2.9,40,52,0,0,1,1,1
43,0,0,12,3.7684,40,52,0,0,1,1,1
46,0,0,12,3.9,40,52,0,0,1,1,1
33,1,0,14,3.7,40,52,0,0,1,1,1
46,1,0,14,3,40,52,0,0,1,1,1
48,0,0,13,4.5,40,52,0,0,1,1,1
54,1,0,12,3.9,55,52,0,0,1,1,7
23,1,0,16,3.0002,40,52,0,0,1,1,7
23,0,0,13,2.3002,40,48,0,0,1,1,7
44,0,0,18,9.7,45,52,0,0,1,1,7
32,0,0,12,4.1,40,52,0,0,1,1,7
43,0,0,14,4.2,50,52,0,0,1,1,1
56,0,0,16,8.1,40,52,0,0,1,1,1
34,1,0,10,1.8,36,52,0,0,1,1,5
32,0,0,13,6,50,52,0,0,1,1,1
27,1,0,12,3.7,36,52,0,0,1,1,1
36,0,0,12,4.3,40,52,0,0,1,1,1
36,1,0,12,1.9,36,52,0,0,1,1,1
43,0,0,12,4.4,40,52,0,0,1,1,1
50,1,0,12,2.9,40,52,0,0,1,1,1
24,1,0,12,0.7,45,52,0,0,1,1,7
27,1,0,16,3.2,40,52,0,0,1,1,5
26,1,1,12,2.8,40,52,0,0,1,1,7
27,0,1,12,1.85,40,52,0,0,1,1,7
55,0,1,12,2.2,40,49,0,0,1,1,1
31,0,0,12,5.1325,50,52,0,0,1,1,5
47,0,0,12,5,40,52,0,0,1,1,1
46,0,0,12,4.6,40,50,0,0,1,7,7
48,1,0,12,2.25,40,52,0,0,1,1,7
18,0,0,12,1.5,40,52,0,0,1,1,7
36,0,0,12,3.1,40,52,0,0,1,1,7
53,1,0,16,4.6,40,52,0,0,1,1,1
40,0,0,13,3.5,41,52,0,0,1,1,1
52,0,0,14,4.5,45,52,0,0,1,1,1
50,1,0,12,2.5,40,52,0,0,1,1,1
36,0,0,13,4.8,50,52,0,0,1,1,1
32,1,0,12,2.4,37,52,0,0,1,1,1
32,0,0,9,5.5,65,52,0,0,1,1,1
39,1,0,13,3.2,52,52,0,0,1,1,7
48,0,0,12,7.5,46,52,0,0,1,1,1
39,0,0,16,8,70,52,0,0,1,1,1
39,1,0,8,0.89,40,52,0,0,1,1,7
56,0,0,16,5.9,40,52,0,0,1,1,1
45,1,0,13,5.1,40,52,0,0,1,1,1
44,0,0,12,4.5,55,52,0,0,1,1,1
42,1,0,12,2.5,40,52,0,0,1,1,1
49,0,0,14,4.7,40,52,0,0,1,1,1
46,1,0,18,0.85,45,52,0,0,1,1,1
62,0,0,12,4.8,50,52,0,0,1,1,1
42,0,0,12,38.9599,40,52,0,0,1,1,5
56,0,0,13,5.6,42,52,1,0,1,1,1
50,0,0,18,8.3,45,52,0,0,1,1,1
51,0,0,13,5.1,40,52,0,0,1,1,1
47,1,0,13,2.6,40,52,0,0,1,1,1
69,0,0,12,5,40,52,0,0,1,1,1
40,1,0,14,2.8,40,52,0,0,1,1,7
50,0,0,14,4,40,52,0,0,1,1,1
36,1,0,18,7,38,48,0,0,1,1,1
58,0,0,18,4.95,40,52,0,0,1,1,7
37,0,0,12,2.2,40,52,0,0,1,1,5
49,0,0,16,3,40,52,0,0,1,1,5
58,0,0,18,10,70,52,0,0,1,1,1
45,0,0,16,38.9599,55,52,0,0,1,1,1
49,1,0,18,5.7,40,52,1,0,1,1,5
55,0,0,16,5.5,45,52,1,0,1,1,7
56,0,0,12,5.1,40,52,1,0,1,1,5
60,1,0,12,2.3,40,52,0,0,1,1,1
40,0,0,16,10.4,40,52,1,0,1,1,1
40,0,0,18,2,50,49,0,0,1,1,7
25,0,0,16,3.5002,40,52,0,0,1,1,7
35,0,0,16,2.3,40,52,0,0,1,1,7
21,0,0,13,1.196,36,52,0,0,1,4,7
34,0,0,16,6,45,52,0,0,1,1,1
33,1,0,20,10.3069,65,52,0,0,1,1,1
53,0,0,12,6.2,40,52,0,0,1,1,3
24,1,0,16,2.6,36,52,0,0,1,1,7
51,1,0,14,4.4,40,52,0,0,1,7,1
35,0,0,12,6,50,52,0,0,1,1,1
37,1,0,14,4.5,40,52,0,0,1,1,2
48,0,0,12,5.6,70,52,0,0,1,1,1
42,1,0,14,3,40,52,0,0,1,1,1
52,0,0,12,3,40,52,0,0,1,1,1
40,0,0,13,3,40,52,0,0,1,2,5
52,1,0,16,3.2579,40,52,0,0,1,1,5
61,0,0,12,3.0426,40,52,0,0,1,2,5
51,0,0,12,4.5,40,52,0,0,1,1,1
46,1,0,14,4,37,48,0,0,1,1,1
43,1,0,18,4.5,45,52,0,0,1,1,1
49,0,0,16,9.6,42,52,0,0,1,1,1
72,0,0,12,9,40,52,0,0,1,1,1
60,1,0,14,7.5,60,52,0,0,1,1,5
57,0,0,16,4.3,40,52,0,0,1,1,1
26,0,0,13,3,45,52,0,0,1,1,7
37,0,0,12,3.5,40,52,0,0,1,1,1
47,1,0,13,6,50,50,0,0,1,1,7
36,0,0,18,5.8,40,52,0,0,1,1,1
50,0,0,13,4.4,40,52,0,0,1,1,5
21,0,0,13,2.6,40,52,0,0,1,1,7
53,1,0,12,3.4,36,52,0,0,1,1,5
54,0,0,20,6.5,60,52,0,0,1,1,1
59,1,0,16,6,80,52,0,0,1,1,1
45,1,0,16,4.1,40,52,0,0,1,1,1
36,0,0,13,5.5,47,52,0,0,1,1,1
42,1,0,13,3,40,52,0,0,1,1,1
62,0,0,13,3.8,40,52,0,0,1,1,1
48,0,0,16,7,40,52,0,0,1,1,1
